,0
0,0
1,0
2,1
3,0
4,0
5,1
6,0
7,0
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,1
18,0
19,0
20,0
21,0
22,1
23,0
24,1
25,1
26,1
27,1
28,0
29,1
30,1
31,0
32,1
33,0
34,0
35,0
36,1
37,1
38,0
39,1
40,0
41,1
42,1
43,1
44,0
45,1
46,0
47,1
48,1
49,0
50,0
51,1
52,0
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,1
61,0
62,0
63,1
64,1
65,1
66,1
67,0
68,0
69,0
70,0
71,0
72,1
73,1
74,0
75,0
76,0
77,1
78,0
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,1
87,1
88,1
89,1
90,1
91,0
92,1
93,1
94,0
95,1
96,0
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,0
106,1
107,0
108,1
109,1
110,0
111,1
112,0
113,0
114,1
115,1
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,0
