,0
0,1.1715575487286993
1,0.3200264039769618
2,-3.6324981306593407
3,2.8013231231989644
4,-0.032782907141769124
5,0.26844134203809156
6,-1.9987284293381447
7,-1.4507983858899383
8,1.2004741025892915
9,0.7179469246431834
10,1.6492385719275462
11,-1.6703953290277482
12,0.12599072488062335
13,-0.30042516640550987
14,2.2682260895317565
15,-1.0673767581361824
16,-1.9932436019433282
17,0.5881049966562015
18,-0.06499651196559542
19,0.7016614571061632
20,1.838670493586304
21,1.1294906688597068
22,0.47364405150312433
23,-3.4953725789741346
24,-1.6745176734064602
25,3.2891091880505954
26,-1.3632504752795316
27,-0.2987053891346751
28,-0.3978830266374207
29,0.4955437652488614
30,0.9153093571148777
31,1.5352032762854013
32,0.5509559220681967
33,0.4250064559851958
34,-3.1886280518051215
35,0.5273099396380415
36,-0.007951833512315765
37,0.07774044191072993
38,0.7435962006207308
39,-0.3950450084868968
40,0.581075461056383
41,1.4737228355212866
42,-2.070190056890117
43,-0.9526277093958828
44,1.090230380322848
45,-1.2129095608138676
46,0.8592481234595261
47,-2.5523762853024987
48,2.2827092041510273
49,0.07707143651575843
