,0
0,0.8228127498086002
1,0.24937945485919188
2,-1.1619394956421711
3,1.5621802933324123
4,0.02764981779269149
5,-1.2684424980196507
6,-0.5104838550914363
7,-1.4460830123898916
8,0.15670609653048395
9,0.0002518253613206234
10,1.852301269450392
11,-1.3433511842404289
12,1.2101785804095955
13,-0.5124270047346191
14,1.6775880915607693
15,0.8018874247953187
16,-0.4477090329149169
17,0.15455821876884568
18,1.0385541902122044
19,0.978736941271301
20,0.6487800299088742
21,-0.4620877328284152
22,0.1428269034982197
23,-1.2305246108117127
24,-1.3076105588290843
25,2.619272850445754
26,-1.4844663336118702
27,0.15254775854574265
28,0.09656395208698254
29,0.06750031872278606
30,0.5586108544478472
31,0.8053302102428508
32,0.25077907594536986
33,-0.5006092669613822
34,-0.5877973638294995
35,0.3979502387618292
36,-0.6789803604847355
37,1.1749863442125945
38,-0.45542875442543984
39,0.011569016336764992
40,-0.6100588906603481
41,1.606356708666897
42,-0.3638749830309328
43,-1.1834742508802727
44,0.6080454490510225
45,-1.3035121766742335
46,1.470015676266852
47,-1.4190765798953588
48,0.6198914181440522
49,-0.11270415959481128
