,0
0,True
1,True
2,True
3,False
4,True
5,True
6,True
7,False
8,False
9,True
10,False
11,True
12,False
13,False
14,True
15,False
16,False
17,False
18,False
19,False
20,False
21,False
22,False
23,False
24,True
25,True
26,False
27,False
28,True
29,True
30,True
31,True
32,True
33,True
34,False
35,True
36,True
37,False
38,False
39,False
40,True
41,False
42,False
43,False
44,False
45,True
46,True
47,True
48,True
49,False
50,True
51,True
52,True
53,True
54,False
55,False
56,False
57,True
58,False
59,False
60,False
61,True
62,False
63,True
64,False
65,True
66,True
67,False
68,False
69,False
70,True
71,True
72,True
73,True
74,True
75,False
76,True
77,False
78,True
79,True
80,False
81,True
82,True
83,True
84,True
85,True
86,True
87,False
88,True
89,True
90,False
91,False
92,False
93,False
94,True
95,True
96,True
97,True
98,True
99,False
100,False
101,True
102,False
103,False
104,True
105,True
106,True
107,True
108,True
109,False
110,False
111,False
112,True
113,True
114,True
115,True
116,False
117,False
118,True
119,True
120,False
121,True
122,False
123,False
124,False
125,True
126,False
127,True
128,True
129,True
130,True
131,False
132,False
133,False
134,False
135,True
136,False
137,False
138,False
139,True
140,True
141,True
142,True
143,False
144,False
145,True
146,False
147,True
148,False
149,False
150,False
151,True
152,True
153,False
154,False
155,True
156,False
157,True
158,True
159,True
160,False
161,True
162,True
163,True
164,False
165,True
166,True
167,True
168,False
169,False
170,True
171,False
172,False
173,False
174,False
175,False
176,False
177,False
178,False
179,True
180,True
181,True
182,False
183,True
184,False
185,True
186,True
187,False
188,False
189,True
190,False
191,True
192,True
193,False
194,False
195,True
196,False
197,False
198,True
199,True
200,False
201,True
202,False
203,False
204,False
205,True
206,False
207,True
208,True
209,True
210,True
211,False
212,True
213,True
214,False
215,True
216,True
217,True
218,True
219,False
220,False
221,True
222,False
223,False
224,True
225,False
226,True
227,True
228,True
229,True
230,False
231,False
232,False
233,False
234,True
235,True
236,True
237,True
238,True
239,False
240,False
241,True
242,True
243,True
244,True
245,False
246,False
247,False
248,False
249,True
250,False
251,True
252,True
253,False
254,False
255,True
256,True
257,False
258,True
259,True
260,False
261,False
262,True
263,True
264,True
265,False
266,False
267,True
268,False
269,False
270,True
271,True
272,False
273,True
274,False
275,True
276,False
277,True
278,False
279,False
280,True
281,True
282,False
283,False
284,True
285,True
286,False
287,True
288,True
289,False
290,True
291,False
292,True
293,True
294,True
295,False
296,False
297,True
298,False
299,True
300,False
301,True
302,True
303,False
304,True
305,False
306,False
307,False
308,True
309,True
310,True
311,False
312,False
313,True
314,True
315,True
316,True
317,True
318,True
319,False
320,True
321,True
322,False
323,False
324,True
325,True
326,False
327,True
328,True
329,True
330,False
331,True
332,False
333,True
334,True
335,True
336,False
337,True
338,True
339,True
340,True
341,True
342,True
343,True
344,True
345,True
346,True
347,False
348,True
349,True
350,False
351,False
352,True
353,True
354,True
355,False
356,False
357,False
358,False
359,True
360,True
361,False
362,False
363,True
364,True
365,True
366,False
367,True
368,True
369,True
370,False
371,True
372,False
373,True
374,True
